
============================================================
Step 0: Entering Phase 1: Easy (0.0-1.0)
Training pool: 1293581 puzzles
============================================================

Step 22000 | Loss: 0.5173 Acc: 91.95%
Step 22100 | Loss: 0.5230 Acc: 92.56%
Step 22200 | Loss: 0.5640 Acc: 90.08%
Step 22300 | Loss: 0.4742 Acc: 93.89%
Step 22400 | Loss: 0.5313 Acc: 92.54%
Step 22500 | Loss: 0.5634 Acc: 90.50%
Step 22600 | Loss: 0.5460 Acc: 91.15%
Step 22700 | Loss: 0.5351 Acc: 91.25%
Step 22800 | Loss: 0.4907 Acc: 92.79%
Step 22900 | Loss: 0.5143 Acc: 92.13%
Step 23000 | Loss: 0.5413 Acc: 90.83%
Step 23100 | Loss: 0.5459 Acc: 91.32%
Step 23200 | Loss: 0.5624 Acc: 90.32%
Step 23300 | Loss: 0.4877 Acc: 92.88%
Step 23400 | Loss: 0.5172 Acc: 92.01%
Step 23500 | Loss: 0.5799 Acc: 89.66%
Step 23600 | Loss: 0.5220 Acc: 91.88%
Step 23700 | Loss: 0.5439 Acc: 91.38%
Step 23800 | Loss: 0.5228 Acc: 91.35%
Step 23900 | Loss: 0.4932 Acc: 93.08%
Step 24000 | Loss: 0.4979 Acc: 92.97%
Step 24100 | Loss: 0.5305 Acc: 91.34%
Step 24200 | Loss: 0.5147 Acc: 91.81%
Step 24300 | Loss: 0.5150 Acc: 92.72%
Step 24400 | Loss: 0.5501 Acc: 91.06%
Step 24500 | Loss: 0.5110 Acc: 92.26%
Step 24600 | Loss: 0.5332 Acc: 91.29%
Step 24700 | Loss: 0.5595 Acc: 90.47%
Step 24800 | Loss: 0.5213 Acc: 91.75%
Step 24900 | Loss: 0.5568 Acc: 90.56%
Step 25000 | Loss: 0.5188 Acc: 92.39% | 0.0: 477/500 | 1.x: 351/500 | 2.x: 256/500 | 3.x: 171/500 | 4.x+: 92/500 | Total: 1347/2500
Step 25100 | Loss: 0.4844 Acc: 93.35%
Step 25200 | Loss: 0.5452 Acc: 90.98%
Step 25300 | Loss: 0.5061 Acc: 92.37%
Step 25400 | Loss: 0.5543 Acc: 90.10%
Step 25500 | Loss: 0.4877 Acc: 92.93%
Step 25600 | Loss: 0.5000 Acc: 92.55%
Step 25700 | Loss: 0.5064 Acc: 92.66%
Step 25800 | Loss: 0.5492 Acc: 90.23%
Step 25900 | Loss: 0.5060 Acc: 92.96%
Step 26000 | Loss: 0.5019 Acc: 92.94%
Step 26100 | Loss: 0.5040 Acc: 92.16%
Step 26200 | Loss: 0.6170 Acc: 88.77%
Step 26300 | Loss: 0.5624 Acc: 90.00%
Step 26400 | Loss: 0.5088 Acc: 93.49%
Step 26500 | Loss: 0.5183 Acc: 92.13%
Step 26600 | Loss: 0.4930 Acc: 93.68%
