
============================================================
Step 0: Entering Phase 1: Hard only (rating 21+)
Training pool: 281294 puzzles
============================================================

Step 27400 | Loss: 0.7629 Acc: 75.52%
Step 27500 | Loss: 0.7842 Acc: 74.04%
Step 27600 | Loss: 0.7588 Acc: 76.27%
Step 27700 | Loss: 0.7620 Acc: 74.79%
Step 27800 | Loss: 0.7196 Acc: 77.56%
Step 27900 | Loss: 0.7254 Acc: 78.15%

============================================================
Step 28000: Entering Phase 3: Easy+ (rating 1+)
Training pool: 2312068 puzzles
============================================================

Step 28000 | Loss: 0.7598 Acc: 75.10%
Step 28100 | Loss: 0.7587 Acc: 75.64%
Step 28200 | Loss: 0.7796 Acc: 73.75%
Step 28300 | Loss: 0.7390 Acc: 76.56%
Step 28400 | Loss: 0.7458 Acc: 75.30%
Step 28500 | Loss: 0.7364 Acc: 77.10%
Step 28600 | Loss: 0.7496 Acc: 76.04%
Step 28700 | Loss: 0.7540 Acc: 75.57%
Step 28800 | Loss: 0.7194 Acc: 78.42%
Step 28900 | Loss: 0.7687 Acc: 74.82%
Step 29000 | Loss: 0.7080 Acc: 78.55%
Step 29100 | Loss: 0.7464 Acc: 76.60%
Step 29200 | Loss: 0.7526 Acc: 76.03%
Step 29300 | Loss: 0.7214 Acc: 77.64%
Step 29400 | Loss: 0.7247 Acc: 77.85%
Step 29500 | Loss: 0.7784 Acc: 74.81%
Step 29600 | Loss: 0.7639 Acc: 75.65%
Step 29700 | Loss: 0.7624 Acc: 75.62%
Step 29800 | Loss: 0.7357 Acc: 76.83%
Step 29900 | Loss: 0.7660 Acc: 74.87%
Step 30000 | Loss: 0.7431 Acc: 76.51% | 0: 4783/5000 | 1-2: 3680/5000 | 3-10: 2459/5000 | 11-50: 2707/5000 | 51+: 3070/5000 | Total: 16699/25000 (66.8%)
Step 30100 | Loss: 0.7191 Acc: 77.52%
Step 30200 | Loss: 0.7560 Acc: 74.40%
Step 30300 | Loss: 0.7480 Acc: 76.78%
Step 30400 | Loss: 0.7756 Acc: 74.52%
Step 30500 | Loss: 0.7494 Acc: 75.78%
Step 30600 | Loss: 0.7657 Acc: 74.85%
Step 30700 | Loss: 0.7555 Acc: 76.03%
Step 30800 | Loss: 0.7459 Acc: 76.33%
Step 30900 | Loss: 0.7157 Acc: 78.15%
Step 31000 | Loss: 0.7495 Acc: 75.89%
Step 31100 | Loss: 0.7257 Acc: 77.17%
Step 31200 | Loss: 0.7531 Acc: 75.18%
Step 31300 | Loss: 0.7336 Acc: 77.10%
Step 31400 | Loss: 0.7588 Acc: 76.02%
Step 31500 | Loss: 0.7147 Acc: 78.80%
Step 31600 | Loss: 0.7407 Acc: 75.90%
