
============================================================
Step 0: Entering Phase 1: Hard only (3.0+)
Training pool: 321326 puzzles
============================================================

Step 21800 | Loss: 0.6802 Acc: 82.75%
Step 21900 | Loss: 0.6792 Acc: 82.95%
Step 22000 | Loss: 0.6802 Acc: 82.17%
Step 22100 | Loss: 0.6716 Acc: 83.07%
Step 22200 | Loss: 0.6784 Acc: 81.96%
Step 22300 | Loss: 0.6689 Acc: 83.04%
Step 22400 | Loss: 0.6733 Acc: 82.56%
Step 22500 | Loss: 0.6926 Acc: 81.69%
Step 22600 | Loss: 0.6935 Acc: 81.23%
Step 22700 | Loss: 0.6336 Acc: 84.90%
Step 22800 | Loss: 0.6598 Acc: 83.06%
Step 22900 | Loss: 0.6395 Acc: 84.35%
Step 23000 | Loss: 0.6572 Acc: 84.03%
Step 23100 | Loss: 0.6683 Acc: 83.13%
Step 23200 | Loss: 0.6610 Acc: 83.20%
Step 23300 | Loss: 0.6920 Acc: 81.50%
Step 23400 | Loss: 0.6674 Acc: 82.80%
Step 23500 | Loss: 0.6555 Acc: 84.11%
Step 23600 | Loss: 0.6703 Acc: 82.54%
Step 23700 | Loss: 0.6580 Acc: 83.73%
Step 23800 | Loss: 0.6739 Acc: 83.35%
Step 23900 | Loss: 0.6480 Acc: 83.91%
Step 24000 | Loss: 0.6715 Acc: 83.10%
Step 24100 | Loss: 0.6654 Acc: 83.20%
Step 24200 | Loss: 0.6595 Acc: 83.13%
Step 24300 | Loss: 0.6523 Acc: 84.75%
Step 24400 | Loss: 0.6913 Acc: 81.54%
Step 24500 | Loss: 0.6631 Acc: 83.50%
Step 24600 | Loss: 0.6497 Acc: 84.39%
Step 24700 | Loss: 0.6641 Acc: 83.22%
Step 24800 | Loss: 0.6365 Acc: 85.63%
Step 24900 | Loss: 0.6433 Acc: 84.76%
Step 25000 | Loss: 0.6498 Acc: 83.87% | 0.0: 489/500 | 1.x: 430/500 | 2.x: 364/500 | 3.x: 321/500 | 4.x+: 276/500 | Total: 1880/2500
Step 25100 | Loss: 0.6652 Acc: 83.75%
Step 25200 | Loss: 0.6387 Acc: 84.66%
Step 25300 | Loss: 0.6672 Acc: 82.70%
Step 25400 | Loss: 0.6588 Acc: 83.23%
Step 25500 | Loss: 0.6723 Acc: 82.88%
Step 25600 | Loss: 0.6554 Acc: 83.65%
Step 25700 | Loss: 0.6627 Acc: 83.36%
Step 25800 | Loss: 0.6509 Acc: 83.27%
Step 25900 | Loss: 0.6679 Acc: 83.36%
Step 26000 | Loss: 0.6569 Acc: 83.17%
Step 26100 | Loss: 0.6421 Acc: 84.26%
Step 26200 | Loss: 0.6541 Acc: 83.81%
Step 26300 | Loss: 0.6640 Acc: 82.62%
Step 26400 | Loss: 0.6458 Acc: 84.23%
Step 26500 | Loss: 0.6658 Acc: 83.50%
Step 26600 | Loss: 0.6756 Acc: 82.74%
Step 26700 | Loss: 0.6340 Acc: 84.96%
Step 26800 | Loss: 0.6416 Acc: 84.36%
Step 26900 | Loss: 0.6606 Acc: 83.25%
Step 27000 | Loss: 0.6561 Acc: 83.33%
Step 27100 | Loss: 0.6321 Acc: 85.14%
Step 27200 | Loss: 0.6750 Acc: 82.52%
Step 27300 | Loss: 0.6413 Acc: 84.36%
Step 27400 | Loss: 0.6756 Acc: 82.75%
Step 27500 | Loss: 0.6412 Acc: 84.36%
Step 27600 | Loss: 0.6427 Acc: 84.70%
Step 27700 | Loss: 0.6440 Acc: 84.32%
Step 27800 | Loss: 0.6454 Acc: 84.08%
Step 27900 | Loss: 0.6487 Acc: 83.95%
Step 28000 | Loss: 0.6511 Acc: 83.62%
Step 28100 | Loss: 0.6636 Acc: 83.35%
Step 28200 | Loss: 0.6618 Acc: 82.78%
Step 28300 | Loss: 0.6063 Acc: 86.21%
Step 28400 | Loss: 0.6393 Acc: 83.95%
Step 28500 | Loss: 0.6504 Acc: 84.18%
Step 28600 | Loss: 0.6296 Acc: 85.16%
Step 28700 | Loss: 0.6525 Acc: 83.75%
Step 28800 | Loss: 0.6554 Acc: 83.00%
Step 28900 | Loss: 0.6319 Acc: 85.00%
Step 29000 | Loss: 0.6656 Acc: 82.28%
Step 29100 | Loss: 0.6300 Acc: 85.23%
Step 29200 | Loss: 0.6348 Acc: 84.74%
Step 29300 | Loss: 0.6372 Acc: 83.79%
Step 29400 | Loss: 0.6505 Acc: 84.36%
Step 29500 | Loss: 0.6351 Acc: 84.49%
Step 29600 | Loss: 0.6329 Acc: 84.14%
Step 29700 | Loss: 0.6482 Acc: 83.32%
Step 29800 | Loss: 0.6498 Acc: 84.11%
Step 29900 | Loss: 0.6371 Acc: 84.64%
Step 30000 | Loss: 0.6407 Acc: 84.14% | 0.0: 486/500 | 1.x: 409/500 | 2.x: 359/500 | 3.x: 312/500 | 4.x+: 267/500 | Total: 1833/2500
Step 30100 | Loss: 0.6262 Acc: 84.49%
Step 30200 | Loss: 0.6383 Acc: 84.17%
Step 30300 | Loss: 0.6484 Acc: 83.54%
Step 30400 | Loss: 0.6431 Acc: 84.79%
Step 30500 | Loss: 0.6592 Acc: 83.33%
Step 30600 | Loss: 0.6406 Acc: 84.20%
Step 30700 | Loss: 0.6489 Acc: 84.02%
Step 30800 | Loss: 0.6535 Acc: 83.27%
Step 30900 | Loss: 0.6186 Acc: 84.70%
Step 31000 | Loss: 0.6144 Acc: 86.02%
Step 31100 | Loss: 0.6106 Acc: 86.26%
Step 31200 | Loss: 0.6532 Acc: 84.27%
Step 31300 | Loss: 0.6346 Acc: 84.23%
Step 31400 | Loss: 0.6381 Acc: 84.50%
Step 31500 | Loss: 0.6378 Acc: 84.09%
Step 31600 | Loss: 0.6448 Acc: 83.98%
Step 31700 | Loss: 0.6326 Acc: 84.06%
Step 31800 | Loss: 0.6246 Acc: 85.31%
Step 31900 | Loss: 0.6453 Acc: 84.60%
Step 32000 | Loss: 0.6455 Acc: 83.77%
Step 32100 | Loss: 0.6433 Acc: 84.88%
Step 32200 | Loss: 0.6645 Acc: 82.17%
Step 32300 | Loss: 0.6334 Acc: 84.97%
Step 32400 | Loss: 0.5938 Acc: 87.27%
Step 32500 | Loss: 0.6513 Acc: 83.00%
Step 32600 | Loss: 0.6451 Acc: 84.46%
Step 32700 | Loss: 0.6271 Acc: 84.70%
Step 32800 | Loss: 0.6299 Acc: 84.60%
Step 32900 | Loss: 0.6219 Acc: 85.27%
Step 33000 | Loss: 0.6381 Acc: 84.17%
Step 33100 | Loss: 0.6108 Acc: 86.26%
Step 33200 | Loss: 0.6284 Acc: 85.13%
Step 33300 | Loss: 0.6014 Acc: 86.89%
Step 33400 | Loss: 0.6505 Acc: 83.89%
Step 33500 | Loss: 0.6071 Acc: 86.28%
