
============================================================
Step 0: Entering Phase 1: Hard only (3.0+)
Training pool: 321326 puzzles
============================================================

Step 30000 | Loss: 0.6624 Acc: 82.29% | 0.0: 484/500 | 1.x: 426/500 | 2.x: 363/500 | 3.x: 308/500 | 4.x+: 269/500 | Total: 1850/2500
Step 30100 | Loss: 0.6731 Acc: 82.74%
Step 30200 | Loss: 0.6398 Acc: 83.75%
Step 30300 | Loss: 0.6729 Acc: 82.54%
Step 30400 | Loss: 0.6599 Acc: 83.49%
Step 30500 | Loss: 0.6869 Acc: 82.74%
Step 30600 | Loss: 0.6164 Acc: 86.23%
Step 30700 | Loss: 0.6310 Acc: 85.65%
Step 30800 | Loss: 0.6219 Acc: 85.91%
Step 30900 | Loss: 0.6148 Acc: 84.72%
Step 31000 | Loss: 0.7244 Acc: 79.71%
Step 31100 | Loss: 0.6493 Acc: 83.55%
Step 31200 | Loss: 0.6889 Acc: 81.71%
Step 31300 | Loss: 0.6811 Acc: 81.55%
Step 31400 | Loss: 0.6575 Acc: 82.17%
Step 31500 | Loss: 0.6448 Acc: 83.49%
Step 31600 | Loss: 0.6782 Acc: 82.66%
Step 31700 | Loss: 0.6539 Acc: 83.96%
Step 31800 | Loss: 0.6568 Acc: 83.31%
Step 31900 | Loss: 0.6443 Acc: 84.69%
Step 32000 | Loss: 0.6490 Acc: 83.92%
Step 32100 | Loss: 0.6466 Acc: 82.94%
Step 32200 | Loss: 0.6642 Acc: 83.61%
Step 32300 | Loss: 0.6475 Acc: 83.96%
Step 32400 | Loss: 0.6296 Acc: 85.31%
Step 32500 | Loss: 0.6666 Acc: 82.14%
Step 32600 | Loss: 0.6935 Acc: 82.35%
Step 32700 | Loss: 0.6704 Acc: 82.74%
Step 32800 | Loss: 0.6432 Acc: 84.44%
Step 32900 | Loss: 0.6955 Acc: 81.32%
Step 33000 | Loss: 0.7190 Acc: 79.60%
Step 33100 | Loss: 0.7083 Acc: 81.17%
Step 33200 | Loss: 0.6282 Acc: 85.47%
Step 33300 | Loss: 0.6738 Acc: 82.96%
