
============================================================
Step 0: Entering Phase 1: Hard only (3.0+)
Training pool: 321326 puzzles
============================================================

Step 38000 | Loss: 0.7308 Acc: 79.31%
Step 38100 | Loss: 0.7757 Acc: 75.36%
Step 38200 | Loss: 0.7732 Acc: 76.61%
Step 38300 | Loss: 0.7205 Acc: 79.55%
Step 38400 | Loss: 0.7613 Acc: 78.55%
Step 38500 | Loss: 0.7268 Acc: 79.09%
Step 38600 | Loss: 0.7092 Acc: 80.39%
Step 38700 | Loss: 0.7493 Acc: 77.48%
Step 38800 | Loss: 0.7160 Acc: 79.51%
Step 38900 | Loss: 0.7470 Acc: 77.84%
Step 39000 | Loss: 0.7220 Acc: 80.34%
Step 39100 | Loss: 0.7451 Acc: 77.76%
Step 39200 | Loss: 0.7136 Acc: 81.11%
Step 39300 | Loss: 0.7315 Acc: 79.37%
Step 39400 | Loss: 0.7714 Acc: 76.92%
Step 39500 | Loss: 0.6994 Acc: 81.97%
Step 39600 | Loss: 0.7242 Acc: 79.83%
Step 39700 | Loss: 0.7122 Acc: 81.04%
Step 39800 | Loss: 0.7590 Acc: 78.96%
Step 39900 | Loss: 0.6920 Acc: 81.26%

============================================================
Step 40000: Entering Phase 3: Medium+ (1.0+)
Training pool: 1703919 puzzles
============================================================

Step 40000 | Loss: 0.6394 Acc: 83.91% | 0.0: 482/500 | 1.x: 381/500 | 2.x: 325/500 | 3.x: 241/500 | 4.x+: 213/500 | Total: 1642/2500
Step 40100 | Loss: 0.6639 Acc: 83.98%
Step 40200 | Loss: 0.7294 Acc: 78.93%
Step 40300 | Loss: 0.6929 Acc: 81.24%
Step 40400 | Loss: 0.7643 Acc: 77.90%
Step 40500 | Loss: 0.6644 Acc: 83.00%
Step 40600 | Loss: 0.6433 Acc: 83.53%
Step 40700 | Loss: 0.6678 Acc: 82.51%
Step 40800 | Loss: 0.6413 Acc: 85.33%
Step 40900 | Loss: 0.6552 Acc: 83.41%
Step 41000 | Loss: 0.7507 Acc: 78.44%
Step 41100 | Loss: 0.6664 Acc: 82.40%
Step 41200 | Loss: 0.6840 Acc: 81.85%
Step 41300 | Loss: 0.6724 Acc: 82.86%
Step 41400 | Loss: 0.6524 Acc: 83.98%
Step 41500 | Loss: 0.7252 Acc: 80.35%
Step 41600 | Loss: 0.6501 Acc: 84.18%
Step 41700 | Loss: 0.6871 Acc: 80.97%
Step 41800 | Loss: 0.6680 Acc: 82.18%
Step 41900 | Loss: 0.6714 Acc: 81.97%
Step 42000 | Loss: 0.6463 Acc: 84.62%
Step 42100 | Loss: 0.6620 Acc: 83.32%
Step 42200 | Loss: 0.6636 Acc: 83.49%
Step 42300 | Loss: 0.6683 Acc: 82.22%
Step 42400 | Loss: 0.6810 Acc: 82.55%
Step 42500 | Loss: 0.6789 Acc: 82.16%
Step 42600 | Loss: 0.7374 Acc: 79.23%
Step 42700 | Loss: 0.6831 Acc: 81.96%
Step 42800 | Loss: 0.6194 Acc: 86.15%
Step 42900 | Loss: 0.7691 Acc: 77.60%
Step 43000 | Loss: 0.6065 Acc: 85.60%
Step 43100 | Loss: 0.6787 Acc: 82.39%
Step 43200 | Loss: 0.6290 Acc: 85.06%
Step 43300 | Loss: 0.7324 Acc: 80.06%
Step 43400 | Loss: 0.6462 Acc: 83.85%
Step 43500 | Loss: 0.6580 Acc: 82.59%
Step 43600 | Loss: 0.6281 Acc: 84.60%
Step 43700 | Loss: 0.7066 Acc: 80.65%
Step 43800 | Loss: 0.6534 Acc: 84.43%
Step 43900 | Loss: 0.7175 Acc: 79.14%
Step 44000 | Loss: 0.6414 Acc: 85.53%
Step 44100 | Loss: 0.6818 Acc: 83.09%
Step 44200 | Loss: 0.5871 Acc: 87.30%
Step 44300 | Loss: 0.6957 Acc: 81.22%
Step 44400 | Loss: 0.7014 Acc: 82.27%
Step 44500 | Loss: 0.6365 Acc: 85.54%
Step 44600 | Loss: 0.8003 Acc: 76.31%
Step 44700 | Loss: 0.7166 Acc: 80.38%
Step 44800 | Loss: 0.6240 Acc: 86.06%
Step 44900 | Loss: 0.6673 Acc: 83.05%
Step 45000 | Loss: 0.6484 Acc: 83.83% | 0.0: 482/500 | 1.x: 412/500 | 2.x: 344/500 | 3.x: 283/500 | 4.x+: 224/500 | Total: 1745/2500
Step 45100 | Loss: 0.7376 Acc: 79.86%
Step 45200 | Loss: 0.6586 Acc: 83.31%
Step 45300 | Loss: 0.6845 Acc: 80.37%
Step 45400 | Loss: 0.6272 Acc: 85.38%
Step 45500 | Loss: 0.6794 Acc: 83.25%
Step 45600 | Loss: 0.6701 Acc: 82.13%
Step 45700 | Loss: 0.6848 Acc: 81.71%
Step 45800 | Loss: 0.6192 Acc: 86.64%
Step 45900 | Loss: 0.6486 Acc: 84.54%
Step 46000 | Loss: 0.6670 Acc: 82.28%
Step 46100 | Loss: 0.6487 Acc: 83.90%
Step 46200 | Loss: 0.6654 Acc: 83.27%
Step 46300 | Loss: 0.6730 Acc: 82.82%
Step 46400 | Loss: 0.6755 Acc: 82.69%
Step 46500 | Loss: 0.5955 Acc: 85.96%
Step 46600 | Loss: 0.6813 Acc: 83.07%
Step 46700 | Loss: 0.7565 Acc: 77.33%
Step 46800 | Loss: 0.6943 Acc: 81.37%
Step 46900 | Loss: 0.6208 Acc: 86.03%
Step 47000 | Loss: 0.6866 Acc: 82.22%
Step 47100 | Loss: 0.7258 Acc: 81.17%
Step 47200 | Loss: 0.6273 Acc: 84.98%
Step 47300 | Loss: 0.6896 Acc: 81.06%
Step 47400 | Loss: 0.6704 Acc: 83.02%
Step 47500 | Loss: 0.6565 Acc: 84.19%
Step 47600 | Loss: 0.6638 Acc: 83.49%
Step 47700 | Loss: 0.6785 Acc: 82.70%
Step 47800 | Loss: 0.6251 Acc: 86.27%
Step 47900 | Loss: 0.6649 Acc: 83.49%
Step 48000 | Loss: 0.6852 Acc: 82.44%
Step 48100 | Loss: 0.7299 Acc: 80.20%
Step 48200 | Loss: 0.6379 Acc: 84.51%
